Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
;;;;;;;;
key;start-date;end-date;start-year;start-month;start-day;end-year;end-month;end-day
Abdullah Syafi'i (GAM);12/10/1947;22/01/2002;1947;10;12;2002;1;22
;;;;;;;;
Soedirman;24/01/1916;29/01/1950;1916;1;24;1950;1;29
;;;;;;;;
Zainal Basri Palaguna;09/03/1939;02/10/2019;1939;3;9;2019;10;2
;;;;;;;;
Gatot Soebroto;10/10/1907;11/06/1962;1907;10;10;1962;6;11
;;;;;;;;
Soemitro;13/01/1927;10/05/1998;1927;1;13;1998;5;10
;;;;;;;;
Soegih Arto;22/12/1923;29/12/2008;1923;12;22;2008;12;29
;;;;;;;;
Sintong Panjaitan;04/09/1940;;1940;9;4;;;
;;;;;;;;
Suprapto Sukowati;12/11/1922;09/08/1972;1922;11;12;1972;8;9
;;;;;;;;
Sujudi;08/09/1930;23/06/2007;1930;9;8;2007;6;23
;;;;;;;;
W. A. F. J. Tumbelaka;20/04/1920;11/09/2012;1920;4;20;2012;9;11
;;;;;;;;
Pranoto Reksosamodra;16/04/1923;09/06/1992;1923;4;16;1992;6;9
;;;;;;;;
Toyib Hadiwijaya;12/05/1919;12/12/2002;1919;5;12;2002;12;12
;;;;;;;;
Mohamad Suleman Hidayat;02/12/1944;;1944;12;2;;;
;;;;;;;;
Chaerul Saleh;13/09/1916;08/02/1967;1916;9;13;1967;2;8
;;;;;;;;
Notohatyanto;10/09/1907;;1907;9;10;;;
;;;;;;;;
Agung Firman Sampurna;19/11/1971;;1971;11;19;;;
;;;;;;;;
Syarief Thayeb;07/07/1920;11/11/1989;1920;7;7;1989;11;11
;;;;;;;;
Raden Mas Sewaka;1895-01-01;;1895;1;1;;;
;;;;;;;;
Slamet Kirbiantoro;18/03/1948;19/07/2018;1948;3;18;2018;7;19
;;;;;;;;
Mochtar Kusumaatmadja;17/02/1929;06/06/2021;1929;2;17;2021;6;6
;;;;;;;;
Mashudi;11/09/1919;22/06/2005;1919;9;11;2005;6;22
;;;;;;;;
Roeslan Abdulgani;24/11/1914;29/06/2005;1914;11;24;2005;6;29
;;;;;;;;
Widjojo Soejono;09/05/1928;11/05/2022;1928;5;9;2022;5;11
;;;;;;;;
Alamsyah Ratu Perwiranegara;25/12/1925;08/01/1998;1925;12;25;1998;1;8
;;;;;;;;
Mursalin Daeng Mamangung;20/11/1922;18/11/2006;1922;11;20;2006;11;18
;;;;;;;;
Ali Sadikin;07/07/1926;20/05/2008;1926;7;7;2008;5;20
;;;;;;;;
Maskanan;;;;;;;;
;;;;;;;;
Herman Deru;17/11/1967;;1967;11;17;;;
;;;;;;;;
Pahri Azhari;03/07/1962;23/04/2020;1962;7;3;2020;4;23
;;;;;;;;
Abdul Azis Bustam;06/06/1926;16/07/1982;1926;6;6;1982;7;16
;;;;;;;;
Amir Machmud;21/02/1923;21/04/1995;1923;2;21;1995;4;21
;;;;;;;;
Aksa Mahmud;16/07/1945;;1945;7;16;;;
;;;;;;;;
Sunawar Sukowati;06/09/1922;12/01/1986;1922;9;6;1986;1;12
;;;;;;;;
Djatmikanto Danumartono;05/06/1944;;1944;6;5;;;
;;;;;;;;
Edi Sudradjat;22/04/1938;01/12/2006;1938;4;22;2006;12;1
;;;;;;;;
Soebekti;14/05/1914;09/12/1992;1914;5;14;1992;12;9
;;;;;;;;
Achmad Wiranatakusumah;11/10/1925;27/09/1999;1925;10;11;1999;9;27
;;;;;;;;
Kahar Muzakir;10/12/1946;;1946;12;10;;;
;;;;;;;;
Satrio Budihardjo Joedono;01/12/1932;16/04/2017;1932;12;1;2017;4;16
;;;;;;;;
