Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
;;;;;;;;
key;start-date;end-date;start-year;start-month;start-day;end-year;end-month;end-day
Agus Hermanto;20/05/1956;;1956;5;20;;;
;;;;;;;;
Mas Tirtodarmo Haryono;20/01/1924;01/10/1965;1924;1;20;1965;10;1
;;;;;;;;
Hartini;20/09/1924;12/03/2002;1924;9;20;2002;3;12
;;;;;;;;
Yogie Suardi Memet;16/05/1929;07/06/2007;1929;5;16;2007;6;7
;;;;;;;;
Sabam Sirait;13/10/1936;29/09/2021;1936;10;13;2021;9;29
;;;;;;;;
Slamet Iman Santoso;07/09/1907;09/11/2004;1907;9;7;2004;11;9
;;;;;;;;
Widjojo Nitisastro;23/09/1927;09/03/2012;1927;9;23;2012;3;9
;;;;;;;;
Xanana Gusmão;20/06/1946;;1946;6;20;;;
;;;;;;;;
Andi Muhammad Ghalib;03/06/1946;09/05/2016;1946;6;3;2016;5;9
;;;;;;;;
Ambo Eteng Amin;31/12/1942;19/03/2015;1942;12;31;2015;3;19
;;;;;;;;
Adnan Kapau Gani;16/09/1905;23/12/1968;1905;9;16;1968;12;23
;;;;;;;;
Achmad Soebardjo;1896-03-23;15/12/1978;1896;3;23;1978;12;15
;;;;;;;;
Tandiono Manu;28/06/1913;30/10/1986;1913;6;28;1986;10;30
;;;;;;;;
Mohammad Nazir;10/07/1910;30/08/1982;1910;7;10;1982;8;30
;;;;;;;;
Witarmin;02/02/1925;05/07/1983;1925;2;2;1983;7;5
;;;;;;;;
Poedjono Pranyoto;06/08/1936;02/12/2021;1936;8;6;2021;12;2
;;;;;;;;
Ade Komarudin;20/05/1965;;1965;5;20;;;
;;;;;;;;
Juwono Sudarsono;05/03/1942;;1942;3;5;;;
;;;;;;;;
Mohammad Isnaeni;19/04/1919;27/10/2002;1919;4;19;2002;10;27
;;;;;;;;
Soegiarto (militer);;;;;;;;
;;;;;;;;
Muammar Khadafi;07/06/1942;20/10/2011;1942;6;7;2011;10;20
;;;;;;;;
Adhyatma;25/05/1932;02/12/1999;1932;5;25;1999;12;2
;;;;;;;;
Makmun Murod;24/12/1924;13/09/2011;1924;12;24;2011;9;13
;;;;;;;;
Endang Agustini Syarwan;17/08/1949;;1949;8;17;;;
;;;;;;;;
Soedharmono;12/03/1927;25/01/2006;1927;3;12;2006;1;25
;;;;;;;;
Bambang Triantoro;07/01/1931;02/04/2008;1931;1;7;2008;4;2
;;;;;;;;
Surono Reksodimedjo;06/09/1923;03/08/2010;1923;9;6;2010;8;3
;;;;;;;;
Siti Hartinah;23/08/1923;28/04/1996;1923;8;23;1996;4;28
;;;;;;;;
Soetedjo (akademisi);19/11/1901;25/04/1981;1901;11;19;1981;4;25
;;;;;;;;
Setiadi Reksoprodjo;18/09/1921;28/07/2010;1921;9;18;2010;7;28
;;;;;;;;
Satrio;28/05/1916;05/05/1986;1916;5;28;1986;5;5
;;;;;;;;
Mashuri Saleh;19/07/1925;01/04/2001;1925;7;19;2001;4;1
;;;;;;;;
Hadi Utomo;15/08/1945;15/01/2017;1945;8;15;2017;1;15
;;;;;;;;
Amir Murtono;07/07/1924;01/01/2021;1924;7;7;2021;1;1
;;;;;;;;
Soemarno Sosroatmodjo;24/04/1911;09/01/1991;1911;4;24;1991;1;9
;;;;;;;;
Ajit Singh;12/02/1939;;1939;2;12;;;
;;;;;;;;
Cosmas Batubara;19/09/1938;08/08/2019;1938;9;19;2019;8;8
;;;;;;;;
Suharnoko Harbani;30/03/1925;05/11/2001;1925;3;30;2001;11;5
;;;;;;;;
Abdul Hakim Harahap;15/07/1905;07/10/1961;1905;7;15;1961;10;7
;;;;;;;;
Mohammad Syafa'at Mintaredja;17/02/1921;20/10/1984;1921;2;17;1984;10;20
;;;;;;;;
Kuntara;01/09/1939;21/08/2021;1939;9;1;2021;8;21
;;;;;;;;
Rogério Lobato;25/07/1949;;1949;7;25;;;
;;;;;;;;
Abdul Haris Nasution;03/12/1918;06/09/2000;1918;12;3;2000;9;6
;;;;;;;;
Andi Sinjaya Ghalib;25/01/1981;;1981;1;25;;;
;;;;;;;;
Ali Said;12/06/1927;28/06/1996;1927;6;12;1996;6;28
;;;;;;;;
Hario Jonosewojo;09/06/1921;22/03/1994;1921;6;9;1994;3;22
;;;;;;;;
Dadang Suprayogi;12/04/1914;13/09/1998;1914;4;12;1998;9;13
;;;;;;;;
Suyono Sosrodarsono;03/03/1926;17/08/2019;1926;3;3;2019;8;17
;;;;;;;;
Jacob Salatun;27/05/1927;03/02/2012;1927;5;27;2012;2;3
;;;;;;;;
Mudjono;30/07/1927;14/04/1984;1927;7;30;1984;4;14
;;;;;;;;
Dorodjatun Kuntjoro-Jakti;25/11/1939;;1939;11;25;;;
;;;;;;;;
Wondoamiseno;1891-08-18;11/12/1952;1891;8;18;1952;12;11
;;;;;;;;
Bambang Utoyo;20/08/1920;04/07/1980;1920;8;20;1980;7;4
;;;;;;;;
Dave Laksono;19/08/1979;;1979;8;19;;;
;;;;;;;;
Frans Seda;04/10/1926;31/12/2009;1926;10;4;2009;12;31
;;;;;;;;
Arief Patanga;;;;;;;;
;;;;;;;;
Ahmad Yani;19/06/1922;01/10/1965;1922;6;19;1965;10;1
;;;;;;;;
Jatidjan;27/11/1926;12/01/2008;1926;11;27;2008;1;12
;;;;;;;;
Soemitro Djojohadikoesoemo;29/05/1917;09/03/2001;1917;5;29;2001;3;9
;;;;;;;;
Rano Karno;08/10/1960;;1960;10;8;;;
;;;;;;;;
Syarwan Hamid;10/11/1943;25/03/2021;1943;11;10;2021;3;25
;;;;;;;;
Rahardi Ramelan;12/09/1939;;1939;9;12;;;
;;;;;;;;
Omar Dhani;23/01/1924;24/07/2009;1924;1;23;2009;7;24
;;;;;;;;
Moerdiono;19/08/1934;07/10/2011;1934;8;19;2011;10;7
;;;;;;;;
Soekarmen;30/05/1925;10/09/1988;1925;5;30;1988;9;10
;;;;;;;;
Hasjrul Harahap;18/11/1931;08/02/2014;1931;11;18;2014;2;8
;;;;;;;;
Purwoto Gandasubrata;11/10/1929;04/05/2005;1929;10;11;2005;5;4
;;;;;;;;
Irman Gusman;11/02/1962;;1962;2;11;;;
;;;;;;;;
Ryamizard Ryacudu;21/04/1950;;1950;4;21;;;
;;;;;;;;
Sapardjo;15/02/1924;10/04/2001;1924;2;15;2001;4;10
;;;;;;;;
Sofjan Wanandi;03/03/1941;;1941;3;3;;;
;;;;;;;;
Moetojib;11/07/1940;07/10/2015;1940;7;11;2015;10;7
;;;;;;;;
Soepardjo Rustam;12/08/1926;11/04/1993;1926;8;12;1993;4;11
;;;;;;;;
Bandjela Paliudju;03/03/1945;;1945;3;3;;;
;;;;;;;;
R. Soeprapto (pahlawan revolusi);20/06/1920;01/10/1965;1920;6;20;1965;10;1
;;;;;;;;
Sri Adiningsih;11/12/1960;17/06/2023;1960;12;11;2023;6;17
;;;;;;;;
Hayono Isman;25/04/1955;;1955;4;25;;;
;;;;;;;;
Herman Bernhard Leopold Mantiri;11/09/1939;;1939;9;11;;;
;;;;;;;;
Peter Cosgrove;28/07/1947;;1947;7;28;;;
;;;;;;;;
Kelly Kwalik;01/01/1955;16/12/2009;1955;1;1;2009;12;16
;;;;;;;;
Purnomosidi Hadjisarosa;07/09/1934;;1934;9;7;;;
;;;;;;;;
Ahmad Yunus Mokoginta;28/04/1921;11/01/1984;1921;4;28;1984;1;11
;;;;;;;;
Kunto Arief Wibowo;15/03/1971;;1971;3;15;;;
;;;;;;;;
Adi Putra Darmawan Tahir;18/05/1953;;1953;5;18;;;
;;;;;;;;
Soetardjo Soerjogoeritno;30/04/1934;07/08/2010;1934;4;30;2010;8;7
;;;;;;;;
Notohamiprodjo;12/04/1905;21/07/1976;1905;4;12;1976;7;21
;;;;;;;;
Boediardjo;16/11/1921;15/03/1997;1921;11;16;1997;3;15
;;;;;;;;
Feisal Tanjung;17/06/1939;18/02/2013;1939;6;17;2013;2;18
;;;;;;;;
Moeljadi;21/09/1924;29/07/1972;1924;9;21;1972;7;29
;;;;;;;;
Soenandar Prijosoedarmo;17/02/1924;27/12/1984;1924;2;17;1984;12;27
;;;;;;;;
Oetojo Oesman;03/06/1935;;1935;6;3;;;
;;;;;;;;
Eddy Rumpoko;08/08/1960;30/11/2023;1960;8;8;2023;11;30
;;;;;;;;
Nyak Adam Kamil;16/08/1916;11/02/1980;1916;8;16;1980;2;11
;;;;;;;;
Oemar Seno Adji;05/12/1915;05/12/1984;1915;12;5;1984;12;5
;;;;;;;;
Aida Zulaika Nasution;01/04/1948;;1948;4;1;;;
;;;;;;;;
Latief Hendraningrat;15/02/1911;14/03/1983;1911;2;15;1983;3;14
;;;;;;;;
Soedjono C. Atmonegoro;31/01/1940;06/09/2019;1940;1;31;2019;9;6
;;;;;;;;
Mung Parhadimulyo;11/01/1925;28/12/2012;1925;1;11;2012;12;28
;;;;;;;;
Pierre Tendean;21/02/1939;01/10/1965;1939;2;21;1965;10;1
;;;;;;;;
Lukita Dinarsyah Tuwo;25/09/1961;;1961;9;25;;;
;;;;;;;;
Kemal Idris;10/02/1923;28/07/2010;1923;2;10;2010;7;28
;;;;;;;;
Lukman Hakim (birokrat);06/06/1914;20/08/1966;1914;6;6;1966;8;20
;;;;;;;;
Sayuti Melik;25/11/1908;27/02/1989;1908;11;25;1989;2;27
;;;;;;;;
Arie Jeffry Kumaat;20/05/1944;13/01/2002;1944;5;20;2002;1;13
;;;;;;;;
Imanuel Ekadianus Blegur;25/05/1963;;1963;5;25;;;
;;;;;;;;
Z.A. Maulani;06/01/1939;05/04/2005;1939;1;6;2005;4;5
;;;;;;;;
Muhammad Dahlan;02/06/1909;01/02/1977;1909;6;2;1977;2;1
;;;;;;;;
Mahbub Djunaidi;27/07/1933;01/10/1995;1933;7;27;1995;10;1
;;;;;;;;
Johannes Leimena;06/03/1905;29/03/1977;1905;3;6;1977;3;29
;;;;;;;;
Bambang Subianto;10/01/1945;04/11/2022;1945;1;10;2022;11;4
;;;;;;;;
Airlangga Hartarto;01/10/1962;;1962;10;1;;;
;;;;;;;;
Anwar Tjokroaminoto;03/05/1909;16/11/1975;1909;5;3;1975;11;16
;;;;;;;;
Ibrahim Adjie;24/02/1924;25/07/1999;1924;2;24;1999;7;25
;;;;;;;;
Soetjipto Joedodihardjo;27/04/1917;26/03/1984;1917;4;27;1984;3;26
;;;;;;;;
Tuti Sutiawati;03/04/1940;;1940;4;3;;;
;;;;;;;;
I Gusti Putu Martha;01/01/1913;01/01/1992;1913;1;1;1992;1;1
;;;;;;;;
Mohamad Hekal;23/12/1976;;1976;12;23;;;
;;;;;;;;
M. Sarbini;10/06/1914;21/08/1977;1914;6;10;1977;8;21
;;;;;;;;
Umar Rukman;02/07/1923;;1923;7;2;;;
;;;;;;;;
J. B. Sumarlin;07/12/1932;06/02/2020;1932;12;7;2020;2;6
;;;;;;;;
Rachmat Saleh;01/05/1930;11/02/2018;1930;5;1;2018;2;11
;;;;;;;;
R. Bintoro;23/12/1924;13/06/1986;1924;12;23;1986;6;13
;;;;;;;;
Nani Soedarsono;28/03/1928;16/02/2019;1928;3;28;2019;2;16
;;;;;;;;
Siti Hardijanti Rukmana;23/01/1949;;1949;1;23;;;
;;;;;;;;
Aburizal Bakrie;15/11/1946;;1946;11;15;;;
;;;;;;;;
Wahono;25/03/1925;08/11/2004;1925;3;25;2004;11;8
;;;;;;;;
Agum Gumelar;17/12/1945;;1945;12;17;;;
;;;;;;;;
Tarub;10/06/1943;;1943;6;10;;;
;;;;;;;;
Soerjadi (hakim);;;;;;;;
;;;;;;;;
Mas Pardi;01/10/1901;13/08/1968;1901;10;1;1968;8;13
;;;;;;;;
Gatot Taroenamihardja;24/11/1901;24/12/1971;1901;11;24;1971;12;24
;;;;;;;;
Subroto;19/09/1923;20/12/2022;1923;9;19;2022;12;20
;;;;;;;;
Husein Mutahar;05/08/1916;09/06/2004;1916;8;5;2004;6;9
;;;;;;;;
Arifin Siregar;11/02/1934;23/09/2019;1934;2;11;2019;9;23
;;;;;;;;
Alexander Andries Maramis;1897-06-20;31/07/1977;1897;6;20;1977;7;31
;;;;;;;;
Barlian;23/07/1922;24/09/1975;1922;7;23;1975;9;24
;;;;;;;;
Radinal Mochtar;20/09/1930;26/07/2000;1930;9;20;2000;7;26
;;;;;;;;
David Alex;01/01/1951;25/06/1997;1951;1;1;1997;6;25
;;;;;;;;
Agung Laksono;23/03/1949;;1949;3;23;;;
;;;;;;;;
Bambang Soesatyo;10/09/1962;;1962;9;10;;;
;;;;;;;;
Mas Isman;01/01/1924;12/12/1982;1924;1;1;1982;12;12
;;;;;;;;
Hasto Wardoyo;26/03/1964;;1964;3;26;;;
;;;;;;;;
Muladi;26/05/1943;31/12/2020;1943;5;26;2020;12;31
;;;;;;;;
G.A. Siwabessy;19/08/1914;11/11/1982;1914;8;19;1982;11;11
;;;;;;;;
Soerjadi (militer);02/02/1942;07/12/2016;1942;2;2;2016;12;7
;;;;;;;;
Slamet Bratanata;28/02/1928;12/06/1992;1928;2;28;1992;6;12
;;;;;;;;
Soekarto;19/05/1938;;1938;5;19;;;
;;;;;;;;
Leo Lopulisa;23/11/1926;14/09/2009;1926;11;23;2009;9;14
;;;;;;;;
Sumantri Brodjonegoro;03/06/1926;18/12/1973;1926;6;3;1973;12;18
;;;;;;;;
Leonardus Benyamin Moerdani;02/10/1932;29/08/2004;1932;10;2;2004;8;29
;;;;;;;;
D.I. Pandjaitan;09/06/1925;01/10/1965;1925;6;9;1965;10;1
;;;;;;;;
Arnold Achmad Baramuli;20/07/1930;11/10/2006;1930;7;20;2006;10;11
;;;;;;;;
Soedarsono Hadisapoetro;15/07/1921;10/06/1988;1921;7;15;1988;6;10
;;;;;;;;
Ishak Mekki;01/03/1958;;1958;3;1;;;
;;;;;;;;
Wongsonegoro;1897-04-20;04/03/1978;1897;4;20;1978;3;4
;;;;;;;;
Muhammad Alwi Dahlan;15/05/1933;20/03/2024;1933;5;15;2024;3;20
;;;;;;;;
Wismoyo Arismunandar;10/02/1940;28/01/2021;1940;2;10;2021;1;28
;;;;;;;;
Alirahman;10/10/1945;15/01/2016;1945;10;10;2016;1;15
;;;;;;;;
Awaloedin Djamin;26/09/1927;31/01/2019;1927;9;26;2019;1;31
;;;;;;;;
Sutopo Juwono;14/05/1927;19/02/1999;1927;5;14;1999;2;19
;;;;;;;;
Pramono Edhie Wibowo;05/05/1955;13/06/2020;1955;5;5;2020;6;13
;;;;;;;;
Paku Alam VIII;10/04/1910;11/09/1998;1910;4;10;1998;9;11
;;;;;;;;
Setyadjit Soegondo;07/06/1907;20/12/1948;1907;6;7;1948;12;20
;;;;;;;;
Saifuddin Zuhri;01/10/1919;25/02/1986;1919;10;1;1986;2;25
;;;;;;;;
Ashari Danudirdjo;03/11/1922;02/04/2010;1922;11;3;2010;4;2
;;;;;;;;
Radius Prawiro;19/09/1928;26/05/2005;1928;9;19;2005;5;26
;;;;;;;;
Abdul Latief (pengusaha);27/04/1940;;1940;4;27;;;
;;;;;;;;
S.H. Simatupang;yes-1918-07;16/11/1992;yes-;91;0;1992;11;16
;;;;;;;;
Agustinus Sutardhio;15/03/1925;12/03/1981;1925;3;15;1981;3;12
;;;;;;;;
Tjokropranolo;21/05/1924;22/07/1998;1924;5;21;1998;7;22
;;;;;;;;
Theo L. Sambuaga;06/06/1949;;1949;6;6;;;
;;;;;;;;
Haryono Suyono;06/05/1938;;1938;5;6;;;
;;;;;;;;
Basuki Rahmat;04/11/1921;09/01/1969;1921;11;4;1969;1;9
;;;;;;;;
Bustanil Arifin;10/10/1925;13/02/2011;1925;10;10;2011;2;13
