article_title,alma_mater
Rudini,Koninklijke Akademi Militer Breda
Nazom Nurhawi,Akademi Militer
R. Hartono,Akademi Militer
Mooryati Soedibyo,Universitas Saraswati
Mooryati Soedibyo,Universitas Terbuka
Mooryati Soedibyo,Universitas Sebelas Maret
Ali Moertopo,Pendidikan militer tk. Bintara
Soebandrio,Sekolah Tinggi Kedokteran Jakarta
Himawan Soetanto,Akademi Militer
Himawan Soetanto,Angkatan I
Azwar Anas,Institut Teknologi Bandung
A.R. Soehoed,Institut Teknologi Bandung
Musannif Ryacudu,PETA
Goenarso,Institut Teknologi Bandung
Marzuki Usman,Universitas Gadjah Mada
Marzuki Usman,Duke University
Bambang Purwanto,Akademi Kepolisian
Djatikoesoemo,Corps Opleiding Reserve Officieren
Hasri Ainun Besari,Universitas Indonesia
Emanuel Melkiades Laka Lena,Universitas Sanata Dharma
Haris Sudarno,Akademi Militer
Sari Yuliati,Universitas Trisakti
Sari Yuliati,Universitas Indonesia
Linda Amalia Sari,Universitas Terbuka
Muin Pusadan,Universitas Tadulako
Iskandar Sitompul,Akademi Angkatan Laut
Danang Hadiwibowo,Akademi Angkatan Udara
Nasrudin Sumintapura,Universitas Indonesia
Gita Wirjawan,Harvard University
Amien Rais,Universitas Gadjah Mada
Amien Rais,UIN Sunan Kalijaga
Amien Rais,Universitas Notre Dame
Amien Rais,Universitas Chicago
Hartanto Edhie Wibowo,Universitas Negeri Oregon
Mahar Mardjono,Universitas Indonesia
Mahar Mardjono,Armed Forces Institute of Pathology
Mahar Mardjono,University of California
Sophan Sophiaan,Vienna University of Economics and Business
Sophan Sophiaan,Universitas Kristen Indonesia
Burhanuddin Abdullah,Universitas Padjajaran
Burhanuddin Abdullah,Universitas Negeri Michigan
Dading Kalbuadi,P3AD (Pusat Pendidikan Perwira Angkatan Darat)
Kasman Singodimedjo,School tot Opleiding van Inlandsche Artsen
Kasman Singodimedjo,MULO
Kasman Singodimedjo,GMS
Kasman Singodimedjo,AMS
Kasman Singodimedjo,HIS
Kasman Singodimedjo,ELS
Djoehana Wiradikarta,School tot Opleiding van Inlandsche Artsen
Djoehana Wiradikarta,Universitas Amsterdam
Ginandjar Kartasasmita,Institut Teknologi Bandung
Ginandjar Kartasasmita,Tokyo University of Agriculture and Technology
Ginandjar Kartasasmita,Sekolah Tinggi Ilmu Administrasi Lembaga Administrasi Negara
Ginandjar Kartasasmita,Sekolah Dasar Perwira
Ginandjar Kartasasmita,Sekolah Staf dan Komando Angkatan Udara
Akbar Tanjung,Universitas Indonesia
Akbar Tanjung,Universitas Gadjah Mada
Soemono,Institut Teknologi Bandung
A.M. Fatwa,Akademi Angkatan Laut
Dewi Asmara,Universitas Indonesia
Dewi Asmara,Universitas Padjadjaran
Fahri Hamzah,Universitas Indonesia
Indriyanto Seno Adji,Universitas Indonesia
Mahfud MD,Universitas Islam Indonesia
Mahfud MD,Universitas Gadjah Mada
Subagyo Hadi Siswoyo,Akademi Tentara Nasional Indonesia
Soedjono Djoened Poesponegoro,Geneeskundige Hoogeschool te Batavia
Soedjono Djoened Poesponegoro,Universitas Leiden
Marzuki Darusman,Universitas Katolik Parahyangan
Marzuki Alie,Universitas Sriwijaya
Marzuki Alie,Universiti Utara Malaysia
Soerjadi Soedirdja,Akademi Militer
Mervin Sadipun Komber,Universitas Cenderawasih
Mervin Sadipun Komber,Universitas Trisakti
Jusuf Wibisono,Rechtscoogeschool te Batavia
Filomeno Hornay,"Lincoln University, New Zealand"
Bernardus Sugiarta Muljana,Universitas Indonesia
Roesmin Noerjadin,Akademi Angkatan Udara
Justika Baharsjah,Institut Pertanian Bogor
Justika Baharsjah,Universitas Kentucky
Justika Baharsjah,Universitas Cornell
T.B. Simatupang,KNIL
Mochamad Jasin,"Defence General Staff College, Wellington, India"
Zaenal Ma'arif,Universitas Gadjah Mada
Zaenal Ma'arif,Universitas Muhammadiyah Surakarta
Muchdi Purwoprandjono,Akademi Tentara Nasional Indonesia
Bomer Pasaribu,Universitas Sumatera Utara
Bomer Pasaribu,Institut Pertanian Bogor
Hidayat Nur Wahid,Pondok Modern Darussalam Gontor
Hidayat Nur Wahid,UIN Sunan Kalijaga
Hidayat Nur Wahid,Universitas Islam Madinah
