article_title,children
Paku Alam VIII,GPH. Indrokusumo
Saifuddin Zuhri,"Fahmi Saifuddin"
Saifuddin Zuhri,Lukman Hakim Saifuddin
Abdul Latief (pengusaha),"Medina Latief Harjani"
Abdul Latief (pengusaha),Dipo Latief
Theo L. Sambuaga,Jerry Adithya Ksatria Sambuaga
Bustanil Arifin,"Alwin Arifin"
Bustanil Arifin,Emil Arifin
Fuad Bawazier,Muhammad Haikal Bawazier
Soerjadi Soerjadarma,"Awaniduhita Priyanti"
Soerjadi Soerjadarma,"Erlangga Suryadarma"
Soerjadi Soerjadarma,Adityawarman Suryadarma
Sutoyo Siswomiharjo,"Letjen TNI Agus Widjojo"
Sutoyo Siswomiharjo,Nani Nurrachman
Ida Bagus Mantra,"Ida Bagus Putra Diksotama Mantra"
Ida Bagus Mantra,"Ida Bagus Oka Udayana"
Ida Bagus Mantra,"Ida Bagus Gede Wira Wibawa Mantra"
Ida Bagus Mantra,Ida Bagus Rai Dharmawijaya Mantra
A.M. Hendropriyono,Diaz Hendropriyono
Wiranto,"Amalia Sianti"
Wiranto,"Maya Wiranto"
Wiranto,Zainal Nur Rizky
Alex Asmasoebrata,Alexandra Asmasoebrata
Rusli Halil,Irene Ratnawati Rusli
Soesilo Soedarman,Indroyono Soesilo
Sugiyono (politikus),Eddy Rumpoko
Kaharuddin Nasution,"Ahmad Novian Nasution"
Kaharuddin Nasution,"Abdul Hariel Nasution"
Kaharuddin Nasution,"Dwie Riawenny S. Nasution"
Kaharuddin Nasution,Dian Anggieariesta Nasution
Ali Moertopo,"Harris Ali Moerfi"
Ali Moertopo,Lucky Ali Moerfiqin
Daoed Joesoef,Sri Sulaksmi Damayanti
Himawan Soetanto,"Purwanto Indrawan"
Himawan Soetanto,"Dwi Prihanti Indriani"
Himawan Soetanto,"Tri Susanti Indrayani"
Himawan Soetanto,Cahyono Indrakusuma
Ipik Asmasoebrata,"Dadang Suryadi"
Ipik Asmasoebrata,"Alex Asmasoebrata"
Ipik Asmasoebrata,"Ferry Asmasoebrata"
Ipik Asmasoebrata,Neneng Amalia Dendawacana
Musannif Ryacudu,"Ryamizard Ryacudu"
Musannif Ryacudu,"Ryamuazzamsyah"
Musannif Ryacudu,"Nursandrya"
Musannif Ryacudu,"Heryati Zuraida"
Musannif Ryacudu,"Syamsurya Ryacudu"
Musannif Ryacudu,"Krisna Murthy"
Musannif Ryacudu,"Daan Rizal"
Musannif Ryacudu,"Rya Irawan"
Musannif Ryacudu,Iriana Trimurthy
Ibnu Sutowo,Pontjo Sutowo
Hasri Ainun Besari,Ilham Thareq
Kharis Suhud,"Sri Julianti"
Kharis Suhud,"Harry Santoso"
Kharis Suhud,"Eddy Sarosa"
Kharis Suhud,Djoko Sanyoto
Linda Amalia Sari,"Zeke Khaseli"
Linda Amalia Sari,Army Dianti
Gita Wirjawan,"Gia Putri Wirjawan"
Gita Wirjawan,"Gian Putra Wirjawan"
Gita Wirjawan,Gibran Putra Wirjawan
Amien Rais,"Ahmad Hanafi Rais"
Amien Rais,"Hanum Salsabiela Rais"
Amien Rais,"Ahmad Mumtaz Rais"
Amien Rais,"Tasniem Fauzia Rais"
Amien Rais,Ahmad Baihaqi Rais
Sophan Sophiaan,"Romy Sophiaan"
Sophan Sophiaan,Roma Sophiaan
R. Soebijakto,"Jay Subiyakto "
R. Soebijakto,Chitra Subiyakto
Ginandjar Kartasasmita,Agus Gumiwang Kartasasmita
Achmad Tahir,"Gelora Surya Dharma"
Achmad Tahir,"Heriyanto Tahir"
Achmad Tahir,"Hari Indra Utama"
Achmad Tahir,"Yulia Saprita"
Achmad Tahir,"Linda Amalia Sari"
Achmad Tahir,"Adi Putra Darmawan Tahir"
Achmad Tahir,Chaerul Permata Cita
A.M. Fatwa,"Dian Islamiati"
A.M. Fatwa,"Diah Sakinah"
A.M. Fatwa,"Ikar Fatahillah"
A.M. Fatwa,"Rijalulhaq"
A.M. Fatwa,M. Averus
Subagyo Hadi Siswoyo,Agus Isrok Mikroj
Hadi Thayeb,Teuku Mohammad Hamzah Thayeb
Fatmawati,"Guntur Soekarnoputra"
Fatmawati,"Megawati Soekarnoputri"
Fatmawati,"Rachmawati Soekarnoputri"
Fatmawati,"Sukmawati Soekarnoputri"
Fatmawati,Guruh Soekarnoputra
Sarwo Edhie Wibowo,"Wijiasih Cahyasasi"
Sarwo Edhie Wibowo,"Wrahasti Cendrawasih"
Sarwo Edhie Wibowo,"Kristiani Herrawati"
Sarwo Edhie Wibowo,"Mastuti Rahayu"
Sarwo Edhie Wibowo,"Pramono Edhie Wibowo"
Sarwo Edhie Wibowo,"Retno Cahyaningtyas"
Sarwo Edhie Wibowo,Hartanto Edhie Wibowo
Filomeno Hornay,"Priscilla Hornay"
Filomeno Hornay,"Salatiel Hornay"
Filomeno Hornay,"Jason Hornay"
Filomeno Hornay,"Fenella Hornay"
Filomeno Hornay,Letitia Hornay
Siswondo Parman,Ali Ebram
Pontjo Sutowo,"Nurleika Sutowo"
Pontjo Sutowo,"Heramina Sutowo"
Pontjo Sutowo,"Shindi Sutowo"
Pontjo Sutowo,"Nugra Sutowo"
Pontjo Sutowo,"Inaya Sutowo"
Pontjo Sutowo,Prasetyo Sutowo
Muhammad Mangundiprojo,Himawan Soetanto
Oesman Sapta Odang,Raja Sapta Oktohari
Eurico Guterres,"Gakes Guterres"
Eurico Guterres,"Alicia Cloutilde"
Eurico Guterres,Ronaldo Guterres
Tommy Soeharto,"Dharma Mangkuluhur"
Tommy Soeharto,"Gayanti Hutami"
Tommy Soeharto,"Puteri Modiyanti"
Tommy Soeharto,"Syalif Hilmi Putrawan"
Tommy Soeharto,Fajri Fitrah Hutomo
Hidayat Nur Wahid,"Inayati Dzil Izzati"
Hidayat Nur Wahid,"Ruzaina"
Hidayat Nur Wahid,"Alla Khairi"
Hidayat Nur Wahid,"Hubaib Shidiqi"
Hidayat Nur Wahid,"Daffa Muhammad Hidayat"
Hidayat Nur Wahid,Daffi Muhammad Hidayat
