Title,Properties
Feisal Tanjung,"{'image': 'Feisal Tanjung as Commander of the Armed Forces.jpg', 'office': 'Menteri Koordinator Bidang Politik dan Keamanan Republik Indonesia', 'order': 'ke-5', 'term_start': '16 Maret 1998', 'term_end': '20 Oktober 1999', 'president': 'Soeharto < br/ > Bacharuddin Jusuf Habibie', 'predecessor': 'Soesilo Soedarman', 'successor': 'Wiranto', 'office3': 'Panglima Angkatan Bersenjata Republik Indonesia', 'order3': 'ke-11', 'term_start3': '21 Mei 1993', 'term_end3': '12 Februari 1998', 'president3': 'Soeharto', 'predecessor3': 'Edi Sudradjat', 'successor3': 'Wiranto', 'office4': 'Kepala Staf Umum Tentara Nasional IndonesiaKepala Staf Umum Angkatan Bersenjata Republik Indonesia', 'order4': 'ke-6', 'term_start4': '26 Juli 1992', 'term_end4': '15 Mei 1993', 'predecessor4': 'Soedibyo Rahardjo', 'successor4': 'Herman Bernhard Leopold Mantiri', 'birth_place': 'Tarutung, Silindung, Keresidenan Tapanuli, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'nationality': 'Indonesia', 'party': 'Non partisipan', 'spouse': 'dr. Masrowida Lubis', 'alma_mater': 'Akademi Militer Nasional (1961)', 'occupation': 'Tentara', 'religion': 'Islam', 'serviceyears': '1961–1998', 'rank': '25px Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Infanteri (Kopassus)', 'awards': 'ICSA Awards 2008'}"
Syarwan Hamid,"{'image': 'Syarwan Hamid, The DPR-RI Stance on the Reform Process and the Resignation of President Soeharto, p39.jpg', 'office': 'Menteri Dalam Negeri Indonesia', 'order': 'ke–22', 'term_start': '23 Mei 1998', 'term_end': '27 September 1999', 'president': 'B. J. Habibie', 'predecessor': 'R. Hartono', 'successor': 'Soerjadi Soedirdja', 'birth_place': 'Dusun Pusaka, Siak, Masa pendudukan Jepang', 'death_place': 'Cimahi, Jawa Barat, Indonesia', 'party': 'Golkar  < br >  Perindo (2015) < ref >  < /ref >', 'spouse': 'Hj. Endang Agustini, S.I.P.', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Infanteri', 'serviceyears': '1966–1996', 'servicenumber': '20755', 'battles': 'Pemberontakan di Aceh', 'alma_mater': 'Akademi Militer (1966)', 'profession': 'Tentara  < br/ >  Politikus'}"
Arifin Siregar,"{'name': 'Arifin Mohamed Siregar < ref > http://www.bloomberg.com/research/stocks/people/person.asp?personId=34052827 & ticker=SIME:MK < /ref >', 'image': 'Arifin-m-siregar.jpg', 'caption': 'Arifin sebagai Gubernur Bank Indonesia', 'office': 'Duta Besar Indonesia untuk Amerika Serikat', 'order': 'ke-13', 'term_start': '1 Oktober 1993', 'term_end': '21 November 1997', 'president': 'Soeharto', 'predecessor': 'Abdul Rahman Ramly', 'successor': 'Dorodjatun Kuntjoro-Jakti', 'office1': 'Menteri Perdagangan Indonesia', 'order1': 'ke-22', 'term_start1': '21 Maret 1988', 'term_end1': '17 Maret 1993', 'president1': 'Soeharto', 'predecessor1': 'Rachmat Saleh', 'successor1': 'Satrio Budihardjo Joedono', 'office2': 'Gubernur Bank Indonesia', 'order2': 'ke-8', 'term_start2': '1983', 'term_end2': '1988', 'president2': 'Soeharto', 'predecessor2': 'Rachmat Saleh', 'successor2': 'Adrianus Mooy', 'birth_place': 'Medan, Sumatra Timur, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'nationality': 'Indonesia', 'spouse': 'Adiati', 'children': '3', 'alma_mater': 'Nederlandsche Economische Hogeschool < br >', 'signature': 'Sign Arifin M. Siregar.png'}"
Abdul Latief (pengusaha),"{'name': 'Abdul Latief', 'image': 'Sixth Development Cabinet Poster (Abdul Latief).jpg', 'office': 'Menteri Pariwisata, Seni, dan Budaya Indonesia', 'order': 'ke-5', 'president': 'Soeharto', 'term_start': '16 Maret 1998', 'term_end': '21 Mei 1998', 'predecessor': 'Joop Ave', 'successor': 'Marzuki Usman', 'office2': 'Menteri Tenaga Kerja dan Transmigrasi Indonesia', 'order2': 'ke-18', 'president2': 'Soeharto', 'term_start2': '17 Maret 1993', 'term_end2': '14 Maret 1998', 'predecessor2': 'Cosmas Batubara', 'successor2': 'Theo L. Sambuaga', 'birth_place': 'Banda Aceh, Aceh, Hindia Belanda', 'nationality': 'Indonesia', 'spouse': 'Nursyamsiah  < br >  Donna Louisa Maria', 'children': 'Medina Latief Harjani  < br >  Dipo Latief', 'alma_mater': 'Akademi Pimpinan Perusahaan JakartaUniversitas Krisnadwipayana', 'occupation': 'Pengusaha', 'religion': 'Islam'}"
Amir Machmud,"{'name': 'Amir Machmud', 'image': 'Amirmachmud.jpg', 'caption': 'Amir Machmud sebagai Pangdam V/Jayakarta', 'office': 'Ketua Majelis Permusyawaratan Rakyat Republik Indonesia', 'order': 'ke-6', 'term_start': '1 Oktober 1982', 'term_end': '30 September 1987', 'predecessor': 'Daryatmo', 'successor': 'Kharis Suhud', 'office1': 'Ketua Dewan Perwakilan Rakyat Republik Indonesia', 'order1': 'ke-9', 'term_start1': '1 Oktober 1982', 'term_end1': '1 Oktober 1987', 'president1': 'Soeharto', 'predecessor1': 'Daryatmo', 'successor1': 'Kharis Suhud', 'office2': 'Menteri Dalam Negeri Indonesia', 'order2': 'ke-17', 'term_start2': '9 Januari 1969', 'term_end2': '1 Oktober 1982', 'president2': 'Soeharto', 'predecessor2': 'Basuki Rachmat', 'successor2': 'Soepardjo Rustam', 'office3': 'Komando Daerah Militer X/Lambung MangkuratPangdam X/Lambung Mangkurat', 'order3': 'ke-4', 'term_start3': '28 November 1962', 'term_end3': '15 November 1965', 'predecessor3': 'Kolonel Inf M. Jusi', 'successor3': 'Kolonel Inf R. Sutopo Juwono', 'birth_place': 'Cimahi, Hindia Belanda', 'death_place': 'Cimahi, Jawa Barat, Indonesia', 'relations': 'Kaharudin Datuk Rangkayo Basa (adik ipar)', 'alma_mater': 'Akademi Militer', 'occupation': 'TNI', 'branch': '25px TNI Angkatan Darat', 'serviceyears': '1943—1978', 'servicenumber': '11646', 'rank': '25px Jenderal TNI', 'unit': 'Infanteri', 'battles': 'Revolusi Nasional Indonesia'}"
J. B. Sumarlin,"{'honorific-prefix': '< !-- Hanya gelar kehormatan/kenegaraan (non-akademis) -- >', 'name': 'J. B. Sumarlin', 'honorific-suffix': '< !-- Hanya gelar kehormatan/kenegaraan (non-akademis) -- >', 'image': 'Jb_sumarlin.jpg', 'office1': 'Menteri Pendidikan dan Kebudayaan < br > < small > (ad-interim)', 'president1': 'Soeharto', 'term_start1': '3 Juni 1985', 'term_end1': '29 Juli 1985', 'predecessor1': 'Nugroho Notosusanto', 'successor1': 'Fuad Hassan', 'president2': 'Soeharto', 'term_start2': '18 Desember 1973', 'term_end2': '22 Januari 1974', 'predecessor2': 'Sumantri Brodjonegoro', 'successor2': 'Syarief Thayeb', 'office': 'Menteri Keuangan Indonesia', 'order': 'ke-17', 'president': 'Soeharto', 'term_start': '21 Maret 1988', 'term_end': '17 Maret 1993', 'predecessor': 'Radius Prawiro', 'successor': 'Marie Muhammad', 'office3': 'Kepala Badan Perencanaan Pembangunan Nasional', 'order3': 'ke-3', 'president3': 'Soeharto', 'term_start3': '19 Maret 1983', 'term_end3': '21 Maret 1988', 'predecessor3': 'Widjojo Nitisastro', 'successor3': 'Saleh Afif', 'office4': 'Menteri Negara Penertiban Aparatur Negara Indonesia', 'order4': 'ke-3', 'president4': 'Soeharto', 'term_start4': '28 Maret 1973', 'term_end4': '19 Maret 1983', 'predecessor4': 'Emil Salim', 'successor4': 'Saleh Afif', 'office5': 'Kepala Badan Pengusahaan Batam', 'order5': 'ke-2', 'president5': 'Soeharto', 'term_start5': '1976', 'term_end5': '1978', 'predecessor5': 'Ibnu Sutowo', 'successor5': 'Bacharuddin Jusuf Habibie', 'birth_date': '7 Desember 1932', 'birth_place': 'Nglegok, Blitar, Jawa Timur, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'spouse': 'Theresia Yostiana Soedarmi', 'children': '< !-- Kolom ini diisi hanya jumlah anak; hanya nama anak yang secara independen sudah terkenal atau telah memiliki artikelnya di Wikipedia; bila ada rujukan/referensi, uraikan pada artikel -- > 5', 'alma_mater': 'Universitas Indonesia', 'occupation': 'Ekonom'}"
Achmad Tahir,"{'honorific-prefix': 'Jenderal TNI (HOR) (Purn.)', 'image': 'Achmad Tahir - Fourth Development Cabinet.jpg', 'caption': 'Potret Achmad Tahir', 'office': 'Menteri Pariwisata, Pos, dan Telekomunikasi Indonesia', 'order': 'ke-2', 'president': 'Soeharto', 'vicepresident': 'Umar Wirahadikusumah', 'term_start': '19 Maret 1983', 'term_end': '21 Maret 1988', 'predecessor': 'S.H. Simatupang < br > Hamengkubuwono IX', 'successor': 'Soesilo Soedarman', 'birth_place': 'Kisaran, Sumatera Utara, Hindia Belanda', 'death_place': 'Rumah Sakit Medistra, Jakarta, Indonesia', 'resting_place': 'Taman Makam Pahlawan Nasional Utama Kalibata, Jakarta, Indonesia', 'spouse': 'Ny. Rooslila Simanjuntak', 'occupation': 'Militer', 'cabinet': 'Kabinet Pembangunan IV', 'religion': 'Islam', 'branch': '25px TNI Angkatan Darat', 'serviceyears': '1945—1973', 'servicenumber': '15431', 'rank': '25px Jenderal TNI', 'unit': 'Polisi Militer (CPM)', 'battles': 'Operasi Trikora'}"
Titiek Soeharto,"{'name': 'Titiek Soeharto', 'image': 'File:KPU Siti Hediati Hariyadi.jpg', 'office': 'Anggota Dewan Perwakilan Rakyat', 'term_start': '1 Oktober 2014', 'term_end': '11 Juni 2018', 'predecessor': '< !-- Can be repeated up to eight times by adding a number -- >', 'successor': 'Gandung Pardiman', 'parliamentarygroup': 'Fraksi Partai Golongan Karya', 'constituency': 'Daerah Istimewa Yogyakarta', 'birth_name': 'Siti Hediati Harijadi', 'birth_place': 'Semarang, Jawa Tengah, Indonesia', 'alma_mater': 'Universitas Indonesia', 'occupation': '< !--', 'religion': 'Islam -- >', 'children': 'Ragowo Hediprasetyo Djojohadikoesoemo (Didit)', 'party': '(sejak 2023)', 'otherparty': '(2012 - 2018) < br >  (2018 - 2023)', 'father': 'Soeharto', 'mother': 'Siti Hartinah', 'relatives': 'Siti Hardijanti Rukmana (kakak) < br > Sigit Harjojudanto (kakak) < br > Bambang Trihatmodjo (kakak) < br > Hutomo Mandala Putra (adik) < br > Siti Hutami Endang Adiningsih (adik) \n < !--', 'net_worth': 'Rp 592 Miliar (LHKPN 2017) < ref name=LHKPN >  < /ref >  -- >'}"
Cosmas Batubara,"{'image': 'Cosmas Batubara - Fourth Development Cabinet.jpg', 'office': 'Menteri Tenaga Kerja dan Transmigrasi Republik IndonesiaMenteri Tenaga Kerja Indonesia', 'order': 'ke-16', 'president': 'Soeharto', 'term_start': '21 Maret 1988', 'term_end': '17 Maret 1993', 'predecessor': 'Sudomo', 'successor': 'Abdul Latief', 'office2': 'Menteri Negara Perumahan Rakyat Republik IndonesiaMenteri Negara Perumahan Rakyat Indonesia', 'order2': 'ke-1', 'president2': 'Soeharto', 'term_start2': '22 April 1978', 'term_end2': '21 Maret 1988', 'predecessor2': 'Tidak ada', 'successor2': 'Siswono Yudohusodo', 'birth_place': 'Purba Saribu, Haranggaol Horison, Simalungun, Sumatera Utara, Hindia Belanda', 'death_place': 'Jakarta', 'nationality': 'Indonesia', 'party': 'Partai Golkar', 'spouse': 'R.A. Cypriana Hadiwijono', 'alma_mater': 'Universitas Indonesia', 'occupation': 'Komisaris Agung Podomoro dan Agung Sedayu Group  < br >  Rektor Podomoro University  < br >  Ketua Umum Yayasan Unika Santo Thomas Sumatera Utara', 'profession': 'Pengusaha', 'religion': 'Katolik'}"
Alamsyah Ratu Perwiranegara,"{'image': 'Alamsyah Ratu Perwiranegara - Fourth Development Cabinet.jpg', 'office': 'Menteri Koordinator Bidang Kesejahteraan Rakyat Republik Indonesia', 'order': 'ke-6', 'term_start': '19 Maret 1983', 'term_end': '23 Maret 1988', 'president': 'Soeharto', 'predecessor': 'Surono Reksodimejo', 'successor': 'Soepardjo Rustam', 'office2': 'Menteri Agama Indonesia', 'order2': 'ke-13', 'term_start2': '29 Maret 1978', 'term_end2': '19 Maret 1983', 'president2': 'Soeharto', 'predecessor2': 'Mukti Ali', 'successor2': 'Munawir Sjadzali', 'birth_place': 'Kotabumi, Lampung, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'serviceyears': '1945–1974', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'children': '5', 'alma_mater': 'Gyu Gun (1943) < br > U.S Army General and Command Staff College (1962)', 'unit': 'Infanteri', 'servicenumber': '14343'}"
Bustanil Arifin,"{'name': 'Bustanil Arifin', 'image': 'Bustanil Arifin - Fourth Development Cabinet.jpg', 'president': 'Soeharto', 'office': 'Menteri Koperasi Indonesia', 'order': 'ke-2', 'term_start': '22 April 1978', 'term_end': '17 Maret 1993', 'predecessor': 'Subroto', 'successor': 'Subiakto Tjakrawerdaya', 'office2': 'Kepala Badan Urusan Logistik', 'order2': 'ke-1', 'term_start2': '29 Maret 1978', 'term_end2': '17 Maret 1993', 'predecessor2': 'Tidak ada', 'successor2': 'Ibrahim Hassan', 'birth_place': 'Padangpanjang, Sumatera Barat, Hindia Belanda', 'death_place': 'Los Angeles, Amerika Serikat', 'children': 'Yani Arifin < br > Alex Arifin < br > Alwin Arifin < br > Emil Arifin', 'alma_mater': 'Universitas Padjajaran', 'occupation': 'Militer, Politisi', 'religion': 'Islam', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'servicenumber': '15046 < ref name= "" utama "" / >'}"
Daoed Joesoef,"{'image': 'Daoed Joesoef portrait.jpg', 'office1': 'Menteri Pendidikan dan Kebudayaan Indonesia', 'order1': 'Ke-17', 'term_start1': '29 Maret 1978', 'term_end1': '19 Maret 1983', 'president1': 'Soeharto', 'predecessor1': 'Syarief Thayeb', 'successor1': 'Nugroho Notosusanto', 'birth_place': 'Medan, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'spouse': 'Sri Sulastri', 'children': 'Sri Sulaksmi Damayanti', 'religion': 'Islam'}"
Sudomo,"{'honorific-prefix': 'Laksamana TNI (Purn.)', 'image': 'Sudomo, 25 Tahun Pembangunan Pemerintah Orde Baru.jpg', 'caption': 'Sudomo sebagai Ketua Dewan Pertimbangan Agung', 'office': 'Ketua Dewan Pertimbangan Agung Republik Indonesia', 'order': 'ke-9', 'term_start': '1993', 'term_end': '1998', 'president': 'Soeharto', 'vicepresident': 'Try Sutrisno', 'predecessor': 'Maraden Panggabean', 'successor': 'Arnold Achmad Baramuli', 'office1': 'Menteri Koordinator Bidang Politik dan Keamanan Republik Indonesia', 'order1': 'ke-3', 'term_start1': '23 Maret 1988', 'term_end1': '17 Maret 1993', 'president1': 'Soeharto', 'vicepresident1': 'Try Sutrisno', 'predecessor1': 'Surono Reksodimedjo', 'successor1': 'Soesilo Soedarman', 'office2': 'Menteri Tenaga Kerja Indonesia', 'order2': 'ke-16', 'term_start2': '19 Maret 1983', 'term_end2': '23 Maret 1988', 'president2': 'Soeharto', 'vicepresident2': 'Umar Wirahadikusumah', 'predecessor2': 'Harun Zain', 'successor2': 'Cosmas Batubara', 'office3': 'Daftar Wakil Panglima Tentara Nasional Indonesia  Wakil Panglima Angkatan Bersenjata Republik Indonesia', 'order3': 'ke-5', 'term_start3': '17 April 1978', 'term_end3': '29 Maret 1983', 'president3': 'Soeharto', 'vicepresident3': 'Adam Malik', 'predecessor3': 'Surono Reksodimedjo', 'successor3': 'Widodo Adi Sutjipto', 'office4': 'Komando Operasi Pemulihan Keamanan dan Ketertiban Panglima Komando Keamanan dan Ketertiban', 'order4': 'ke-5', 'term_start4': '5 April 1978', 'term_end4': '29 Maret 1983', 'president4': 'Soeharto', 'vicepresident4': 'Adam Malik', 'predecessor4': 'Jenderal TNI (Purn.) Soeharto', 'successor4': 'Jenderal TNI Leonardus Benyamin Moerdani', 'office5': 'Kepala Staf Komando Keamanan dan Ketertiban', 'term_start5': '1973', 'term_end5': '1978', 'president5': 'Soeharto', 'vicepresident5': 'Hamengkubuwono IX', '1blankname5': 'Panglima Kopkamtib', '1namedata5': 'Soeharto', 'office6': 'Kepala Staf TNI Angkatan Laut', 'order6': 'ke-6', 'term_start6': '16 Desember 1969', 'term_end6': '26 Juni 1973', 'president6': 'Soeharto', 'vicepresident6': 'Hamengkubuwono IX', 'predecessor6': 'Moeljadi', 'successor6': 'R. Soebono', 'birth_place': 'Malang, Jawa Timur, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'death_cause': 'Stroke', 'resting_place': 'Taman Makam Pahlawan Nasional Utama Kalibata, Jakarta, Indonesia', 'children': '4', 'residence': 'Jalan Sekolah Kencana IV, Pondok Indah, Jakarta Selatan', 'branch': '25px TNI Angkatan Laut', 'rank': '25px|  Laksamana TNI', 'serviceyears': '1945—1983', 'servicenumber': '41/P', 'unit': 'Korps Pelaut', 'occupation': 'TNI', 'religion': 'Islam'}"
Frans Seda,"{'image': 'Indonesia Ambassador to Belgium Frans Seda.jpg', 'office': 'Menteri Perhubungan Indonesia', 'order': 'ke-25', 'term_start': '6 Juni 1968', 'term_end': '28 Maret 1973', 'president': 'Soeharto', 'predecessor': 'Salimin Prawiro Sumarto', 'successor': 'Basuki Rachmat', 'office2': 'Menteri Keuangan Indonesia', 'order2': 'ke-14', 'term_start2': '25 Juli 1966', 'term_end2': '6 Juni 1968', 'president2': 'Soekarno', 'predecessor2': 'Sumarno', 'successor2': 'Ali Wardhana', 'office3': 'Menteri Pertanian Indonesia', 'order3': 'ke-14', 'term_start3': '24 Februari 1966', 'term_end3': '25 Juli 1966', 'president3': 'Soekarno', 'predecessor3': 'Sukarno', 'successor3': 'Sutjipto', 'birth_place': 'Maumere, Nusa Tenggara Timur, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'resting_place': 'San Diego Hills', 'party': 'Partai Katolik < br >  PDI < br/ > PDI-P', 'spouse': 'Johanna Maria Pattinaja', 'children': '2', 'residence': 'Jl. Metro Kencana V Nomor 5', 'alma_mater': 'Hollandsche Burgerschool < br/ > Katolieke Economische Hogeschool'}"
Soemitro Djojohadikoesoemo,"{'honorific-prefix': 'Tan Sri', 'image': 'Sumitro Djojohadikusumo, Pekan Buku Indonesia 1954, p240.jpg', 'caption': 'Sumitro pada 1954', 'office': 'Menteri Negara Riset Indonesia', 'order': 'ke-3', 'term_start': '28 Maret 1973', 'term_end': '28 Maret 1978', 'president': 'Soeharto', 'predecessor': 'Suhadi Reksowardojo (1966)', 'successor': 'B. J. Habibie', 'office1': 'Menteri Keuangan Indonesia', 'order1': 'ke-8', 'term_start1': '12 Agustus 1955', 'term_end1': '24 Maret 1956', 'president1': 'Soekarno', 'primeminister1': 'Burhanuddin Harahap', 'predecessor1': 'Ong Eng Die', 'successor1': 'Jusuf Wibisono', 'term_start2': '3 April 1952', 'term_end2': '30 Juli 1953', 'president2': 'Soekarno', 'primeminister2': 'Wilopo', 'predecessor2': 'Jusuf Wibisono', 'successor2': 'Ong Eng Die', 'office3': 'Menteri Perdagangan Indonesia', 'order3': 'ke-7', 'term_start3': '6 Juni 1968', 'term_end3': '28 Maret 1973', 'president3': 'Soeharto', 'predecessor3': 'M. Jusuf', 'successor3': 'Radius Prawiro', 'term_start4': '6 September 1950', 'term_end4': '27 April 1951', 'president4': 'Soekarno', 'primeminister4': 'Mohammad Natsir', 'predecessor4': 'Tandiono Manu', 'successor4': 'Sujono Hadinoto', 'birth_place': 'Kebumen, Keresidenan Kedu, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'spouse': 'Dora Marie Sigar', 'children': 'Biantiningsih Miderawati Djiwandono < br / > Marjani Ekowati Lemaistre < br / > Prabowo Subianto  < br / >  Hashim Djojohadikusumo', 'alma_mater': 'Universitas Sorbonne < br/ > Sekolah Tinggi Ekonomi Belanda', 'occupation': 'Ekonom, politikus', 'party': 'Partai Sosialis Indonesia (1955–1960)', 'signature': 'Signature of Sumitro Djojohadikusumo.png', 'signature_size': '160px', 'signature_alt': 'Tanda tangan Sumitro Djojohadikusumo', 'relations': 'Soeharto < br > (besan) < br > Titiek Soeharto < br > (menantu)', 'parents': 'Margono Djojohadikoesoemo < br > (ayah) < br > Siti Katoemi Wirodihardjo < br > (ibu)'}"
Soemitro,"{'name': 'Soemitro', 'image': 'Soemitro, Riwayat Hidup Anggota-Anggota Majelis Permusyawaratan Rakyat Hasil Pemilihan Umum 1971, p1010.jpg', 'caption': 'Jenderal Soemitro', 'birth_place': 'Probolinggo, Jawa Timur', 'death_place': 'Jakarta', '1blankname': 'Panglima', '1namedata': 'Soeharto < br / > Maraden Panggabean', 'office': 'Wakil Panglima Tentara Nasional IndonesiaWakil Panglima Angkatan Bersenjata Republik Indonesia', 'order': 'ke–3', 'term_start': '9 September 1971', 'term_end': '2 Maret 1974', 'predecessor': 'Maraden Panggabean', 'successor': 'Surono Reksodimedjo', 'president': 'Soeharto', 'office1': 'Komando Operasi Pemulihan Keamanan dan Ketertiban Panglima Komando Keamanan dan Ketertiban', 'order1': 'ke-3', 'term_start1': '9 September 1971', 'term_end1': '2 Maret 1974', 'president1': 'Soeharto', 'vicepresident1': 'Hamengkubuwono IX', 'predecessor1': 'Maraden Panggabean', 'successor1': 'Jenderal TNI (Purn.) Soeharto', 'serviceyears': '1943—1974', 'rank': '25px|  Jenderal TNI', 'battles': 'Revolusi Nasional Indonesia', 'occupation': 'Tentara'}"
Idham Chalid,"{'honorific-prefix': '< small > Dr. (H.C.) K. H. < /small >', 'name': 'Idham Chalid', 'image': 'Idham Chalid, Kami Perkenalkan (1952), 78.jpg', 'image_size': '250px', 'office': 'Wakil Perdana Menteri Indonesia', '1blankname': 'Menjabat bersama', 'president': 'Soekarno', 'successor': 'Johannes Leimena', '1blankname1': 'Menjabat bersama', 'primeminister1': 'Soekarno', '1blankname2': 'Menjabat bersama', '1blankname3': 'Bidang', '1namedata3': 'Hubungan dengan Institusi Politik', 'successor3': 'Jabatan dihapuskan', 'primeminister3': 'Soekarno', 'office4': 'Menteri Koordinator Bidang Kesejahteraan Rakyat Indonesia', 'order4': 'ke-4', '1blankname4': 'Jabatan lain', '1namedata4': 'Menteri Sosial (ad-interim)', 'president4': 'Soeharto', 'predecessor4': 'Adam Malik', 'successor4': 'Sunawar Sukowati', 'office5': 'Ketua Umum Pengurus Besar Nahdlatul Ulama', 'term_start5': '1956', 'term_end5': '1984', 'predecessor5': 'K.H. Muhammad Dahlan', 'successor5': 'K.H. Abdurrahman Wahid', 'office6': 'Ketua Majelis Permusyawaratan Rakyat Republik Indonesia', 'order6': 'ke-4', 'term_start6': '28 Oktober 1971', 'term_end6': '30 September 1977', 'president6': 'Soeharto', 'predecessor6': 'Abdul Harris Nasution', 'successor6': 'Adam Malik', 'office7': 'Ketua Dewan Perwakilan Rakyat', 'order7': 'ke-6', 'president7': 'Soeharto', 'term_start7': '28 Oktober 1971', 'term_end7': '1 Oktober 1977', 'predecessor7': 'Achmad Sjaichu', 'successor7': 'Adam Malik', 'office9': 'Ketua Dewan Pertimbangan Agung Republik Indonesia', 'order9': 'ke-7', 'term_start9': '1978', 'term_end9': '1983', 'president9': 'Soeharto', 'predecessor9': 'Wilopo', 'successor9': 'Maraden Panggabean', 'office10': 'Anggota Dewan Perwakilan Rakyat Republik Indonesia', 'term_start10': '28 Oktober 1971', 'term_end10': '1 Oktober 1982', 'constituency10': 'Kalimantan Selatan < br > < small > (1971—77) < /small > < br > DKI Jakarta < br > < small > (1977—82) < /small >', 'predecessor10': '< !-- kalau mengganti di tengah jabatan -- >', 'successor10': '< !-- kalau digantikan di tengah jabatan -- >', 'birth_place': 'Satui, Onderafdeeling Tanah Laoet, Hindia Belanda', 'death_date': '< ref >  < /ref >', 'death_place': 'Jakarta, Indonesia', 'resting_place': 'Pondok Pesantren Darul Quran, Cisarua, Bogor < ref >  < /ref >', 'spouse': 'Mastura', 'alma_mater': 'Universitas Al-Azhar', 'profession': 'Ulama'}"
Fuad Bawazier,"{'honorific-prefix': 'Dr.', 'image': 'Fuad Bawazier.jpg', 'office': 'Menteri Keuangan Indonesia', 'order': 'ke-19', 'term_start': '16 Maret 1998', 'term_end': '21 Mei 1998', 'president': 'Soeharto', 'vicepresident': 'Bacharuddin Jusuf Habibie', 'predecessor': ""Mar'ie Muhammad"", 'successor': 'Bambang Subianto', 'birth_place': 'Tegal, Jawa Tengah, Indonesia', 'party': 'Golkar (–1998)  < br > PAN (1998–2006)  < br > Hanura (2006–14) < ref >  < /ref >   < br > Partai Gerindra (2015–) < ref >  < /ref >', 'spouse': 'Soerjati', 'children': 'Muhammad Haikal Bawazier < Br > Nora Bawazier < Br > Mohammad Yamin', 'alma_mater': 'SMA Negeri 1 Cilacap  < br > Universitas Gadjah Mada < br > William College < Br > University of Maryland', 'occupation': 'Politisi', 'religion': 'Islam'}"
Mukti Ali,"{'image': 'Mukti Ali.jpg', 'imagesize': '180', 'office': 'Menteri Agama Indonesia', 'order': 'Ke-12', 'term_start': '11 September 1971', 'term_end': '29 Maret 1978', 'president': 'Soeharto', 'predecessor': 'K.H. Muhammad Dahlan', 'successor': 'Alamsyah Ratu Perwiranegara', 'birth_place': 'Cepu, Blora, Keresidenan Rembang, Hindia Belanda', 'death_place': 'Yogyakarta, Indonesia', 'nationality': 'Indonesia', 'religion': 'Islam'}"
Mashuri Saleh,"{'name': 'Mashuri Saleh', 'image': 'Aankomst Minister Mashuri (kop) van O.V. en W. in Indonesie op Schiphol, Bestanddeelnr 921-7871.jpg', 'imagesize': '200px', 'caption': 'Mashuri Saleh (1968)', 'office': 'Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia < br/ > < small > Utusan Golongan < /small >', '1blankname': 'Ketua MPR/DPR', '1namedata': 'Adam Malik (1977–78)  < br/ > Daryatmo (1978–82)', 'term_start': '1 Oktober 1977', 'term_end': '1 Oktober 1982', 'president': 'Soeharto', 'predecessor': 'Sumiskum', 'successor': 'Amir Murtono', 'office1': 'Menteri Penerangan Indonesia', 'order1': 'ke-20', 'term_start1': '28 Maret 1973', 'term_end1': '1 Oktober 1977', 'president1': 'Soeharto', 'predecessor1': 'Boediarjo', 'successor1': 'Soedharmono (ad-interim)', 'office2': 'Menteri Pendidikan dan Kebudayaan Indonesia', 'order2': 'ke-14', 'term_start2': '6 Juni 1968', 'term_end2': '28 Maret 1973', 'president2': 'Soeharto', 'predecessor2': 'Sanusi Hardjadinata', 'successor2': 'Sumantri Brodjonegoro', 'office3': 'Menteri Perguruan Tinggi dan Ilmu Pengetahuan Indonesia', 'order3': 'ke-5', 'term_start3': '27 Maret 1966', 'term_end3': '25 Juli 1966', 'president3': 'Soekarno', 'predecessor3': 'Syarief Thayeb (ad-interim)', 'successor3': 'Tidak Ada; Jabatan dihapuskan', 'birth_place': 'Juwana, Pati, Jawa Tengah,Hindia Belanda', 'death_place': 'Surakarta, Jawa Tengah,Indonesia', 'religion': 'Islam', 'relations': 'Maskanan (saudara kandung)'}"
