iri,id
Fretilin,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Front Revolusi Independen Timor Leste
UniversitasTrisakti,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Universitas Trisakti
Tonga,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Tonga
BosniadanHerzegovina,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Bosnia dan Herzegovina
NegaraIslamIndonesia,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Negara Islam Indonesia
Palau,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Palau
SriLanka,http://commons.wikimedia.org/wiki/Special:FilePath/Topography Sri Lanka.jpg,https://id.wikipedia.org/wiki/Sri Lanka
Filipina,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Orang Filipina
PRB,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
Singapura,http://commons.wikimedia.org/wiki/Special:FilePath/Singapura Cats (cropped).jpg,https://id.wikipedia.org/wiki/Kucing singapura
VietnamUtara,http://commons.wikimedia.org/wiki/Special:FilePath/Lâm-thời Liên-hiệp Chính-phủ Việt-nam Dân-chủ Cộng-hòa ra mắt Quốc-hội ngày 02 tháng 03 năm 1946.jpg,https://id.wikipedia.org/wiki/Vietnam Utara
Thailand,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Thailand
SukuMadura,http://commons.wikimedia.org/wiki/Special:FilePath/Map of Madoera residency from Atlas Sekolah Hindia Belanda 1909.png,https://id.wikipedia.org/wiki/Suku Madura
Kopassus,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Komando Pasukan Khusus
KomandoJihad,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Komando Jihad
DesaSabaleh,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,"https://id.wikipedia.org/wiki/Sabaleh, Malifut, Halmahera Utara"
KepolisianNegaraRepublikIndonesia,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kepolisian Negara Republik Indonesia
PasukanKuning,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
FrontPembelaIslam,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Front Pembela Islam
FrontKedaulatanMaluku,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Front Kedaulatan Maluku
