a,type,label,wiki
http://127.0.0.1:3333/FrancisI,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Francis I,
http://127.0.0.1:3333/KarlPhilippvonWrede,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Karl Philipp von Wrede,
http://127.0.0.1:3333/MaximilianIJoseph,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Maximilian I Joseph,
http://127.0.0.1:3333/PangeranChristianAugustdariAugustenburg,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pangeran Christian August dari Augustenburg,
http://127.0.0.1:3333/JeanAndocheJunot,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Jean-Andoche Junot,
http://127.0.0.1:3333/FrederickAugustusI,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Frederick Augustus I,
http://127.0.0.1:3333/AbbasMirza,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Abbas Mirza,
http://127.0.0.1:3333/LouisGabrielSuchet,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Louis Gabriel Suchet,
http://127.0.0.1:3333/PangeranHohenlohe,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pangeran Hohenlohe,
http://127.0.0.1:3333/JeanBaptisteJulesBernadotte,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Jean Baptiste Jules Bernadotte,
http://127.0.0.1:3333/ClaudeVictor,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Claude Victor,
http://127.0.0.1:3333/RobertJenkinson,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Robert Jenkinson,
http://127.0.0.1:3333/HoratioNelson,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Horatio Nelson,
http://127.0.0.1:3333/KadipatenMangkunagaran,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kadipaten Mangkunagaran,
http://127.0.0.1:3333/Majapahitbarat,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Majapahit barat,
http://127.0.0.1:3333/KaptenLange,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kapten Lange,
http://127.0.0.1:3333/KorpsMarinirKerajaanBelanda,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Korps Marinir Kerajaan Belanda,
http://127.0.0.1:3333/JohannesPel,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Johannes Pel,
http://127.0.0.1:3333/tentaraBelanda,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,tentara Belanda,
http://127.0.0.1:3333/WangJingwei,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Wang Jingwei,
http://127.0.0.1:3333/PlaekPibulsonggram,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Plaek Pibulsonggram,
http://127.0.0.1:3333/Hirohito,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Hirohito,
http://127.0.0.1:3333/WongAgungWilis,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Wong Agung Wilis,
http://127.0.0.1:3333/TentaraKaresidenanMadiun,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tentara Karesidenan Madiun,
http://127.0.0.1:3333/KarelvanderHeijden,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Karel van der Heijden,
http://127.0.0.1:3333/AryaWiraraja,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Arya Wiraraja,
http://127.0.0.1:3333/TeungkuFakinah,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Teungku Fakinah,
http://127.0.0.1:3333/CutNyakDhien,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Cut Nyak Dhien,
http://127.0.0.1:3333/TentaraKerajaanHindiaBelandaKNIL,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tentara Kerajaan Hindia Belanda (KNIL),
http://127.0.0.1:3333/GotfriedvanDaalen,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Gotfried van Daalen,
http://127.0.0.1:3333/JohannesBenedictusvanHeutsz,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Johannes Benedictus van Heutsz,
http://127.0.0.1:3333/JanJacobKareldeMoulin,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Jan Jacob Karel de Moulin,
http://127.0.0.1:3333/HenryDemmeni,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Henry Demmeni,
http://127.0.0.1:3333/TeukuUmar,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Teuku Umar,
http://127.0.0.1:3333/UlamaIslam,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Ulama Islam,
http://127.0.0.1:3333/PocutMeuligoe,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pocut Meuligoe,
http://127.0.0.1:3333/JohanCornelisvanderWijck,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Johan Cornelis van der Wijck,
http://127.0.0.1:3333/CutMeutia,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Cut Meutia,
