iri,id
DaoedJoesoef,Q12480882,Daoed Joesoef
AgusGumiwangKartasasmita,Q12470931,Agus Gumiwang Kartasasmita
KharisSuhud,Q12491591,Kharis Suhud
HarrySantoso,Q114451363,Harry Santoso
HayaniIsman,Q16180462,Hayani Isman
SitiHediatiHariyadi,Q12515517,Titiek Suharto
ZekeKhaseli,Q106977528,Zeke Khaseli
SitiHutamiEndangAdiningsih,Q20278519,Mamiek Soeharto
Al-SaadiGaddafi,Q310406,Al-Saadi Gaddafi
MuhammadMangundiprojo,Q19729468,Muhammad Mangundiprojo
RavindraAirlangga,Q115049138,Ravindra Airlangga
PerchaLeanpuri,Q56399371,Percha Leanpuri
MelindaAksa,Q104167618,Melinda Aksa Mahmud
MelaniLeimenaSuharli,Q60330208,Melani Leimena Suharli
LeonardusBenyaminMoerdani,Q402998,Leonardus Benjamin Moerdani
DianIslamiati,Q109444527,Dian Islamiati Fatwa
HashimDjojohadikusumo,Q12485398,Hashim Djojohadikusumo
HannibalKhadafi,Q361273,Hannibal Muammar Gaddafi
AhmadHanafiRais,Q16164615,Ahmad Hanafi Rais
ArmidaAlisjahbana,Q4259192,Armida Alisjahbana
ArieJeffryKumaat,Q12472440,Arie Jeffry Kumaat
D.I.Pandjaitan,Q4250996,Donald Izacus Pandjaitan
DipoLatief,Q16174788,Dipo Latief
EuricoGuterres,Q328940,Eurico Guterres
RajaSaptaOktohari,Q12507742,Raja Sapta Oktohari
AgusIsrokMikroj,Q19723750,Agus Isrok Mikroj
MedinaLatiefHarjani,Q17410712,Medina Latief Harjani
GuruhSoekarnoputra,Q4264069,Guruh Sukarnoputra
SukmawatiSoekarnoputri,Q12517042,Sukmawati Soekarnoputri
MaruararSirait,Q20278454,Maruarar Sirait
AndiMuhammadGhalib,Q12472022,Andi Muhammad Ghalib
SadikinAksa,Q104172723,Sadikin Aksa
SutoyoSiswomiharjo,Q4201513,Sutoyo Siswomiharjo
XananaGusmão,Q11509,Xanana Gusmão
AlexandreGusmão,Q3889529,Alexandre de Gusmão
IrviandariAlestyaGusman,Q123049948,Irviandari Alestya Gusman
MegawatiSoekarnoputri,Q76179,Megawati Soekarnoputri
SubhanAksa,Q15912493,Subhan Aksa
Moerdiono,Q13095146,Moerdiono
DiazHendropriyono,Q20278383,Diaz Hendropriyono
MuhammadKhadafi,Q123876796,Muhammad Khadafi
Hartini,Q16180134,Hartini
DewiYustisiana,Q123715384,Dewi Yustisiana
SitiHardijantiRukmana,Q7531876,Tutut Soeharto
KaharuddinNasution,Q12488461,Kaharuddin Nasution
